75056;48.8603;2.3405
13055;43.3038;5.4056
69123;45.7589;4.8353
31555;43.5960;1.4323
06088;43.7122;7.2375
44109;47.2322;-1.5478
34172;43.6131;3.8692
67482;48.5716;7.7677
33063;44.8579;-0.5736
59350;50.6319;3.0471
35238;48.1116;-1.6816
83137;43.1364;5.9328
51454;49.2519;4.0396
42218;45.4301;4.3783
76351;49.4966;0.1403
69266;45.7709;4.8891
21231;47.3229;5.0375
49007;47.4915;-0.5450
38185;45.1822;5.7208
97411;-20.9331;55.4471
30189;43.8447;4.3476
13001;43.5360;5.3984
93066;48.9296;2.3592
63113;45.7859;3.1155
72181;47.9888;0.1999
29019;48.3999;-4.5027
37261;47.3980;0.6963
80021;49.9005;2.2908
74010;45.8902;6.1257
87085;45.8544;1.2491
57463;49.1138;6.1789
66136;42.6966;2.8990
92012;48.8365;2.2387
25056;47.2552;6.0194
76540;49.4415;1.0932
45234;47.8826;1.9164
93048;48.8631;2.4483
14118;49.1850;-0.3700
97415;-21.0446;55.3222
95018;48.9517;2.2407
68224;47.7494;7.3254
54395;48.6902;6.1760
59599;50.7261;3.1598
59512;50.6882;3.1817
92050;48.8962;2.2068
94081;48.7886;2.3943
92004;48.9155;2.2880
94028;48.7837;2.4550
84007;43.9353;4.8412
92025;48.9228;2.2471
86194;46.5834;0.3592
93001;48.9126;2.3845
93005;48.9461;2.4933
59183;51.0134;2.2803
97416;-21.3123;55.4943
78646;48.8023;2.1171
92026;48.8984;2.2552
92063;48.8694;2.1777
97422;-21.2233;55.5588
34032;43.3429;3.2400
64445;43.3202;-0.3497
17300;46.1621;-1.1749
50129;49.6332;-1.6339
33281;44.8322;-0.6822
94017;48.8177;2.5158
06004;43.5877;7.1054
94068;48.7990;2.4942
2A004;41.9751;8.7751
97209;14.6410;-61.0691
44184;47.2802;-2.2511
06029;43.5527;7.0025
93051;48.8360;2.5652
93029;48.9234;2.4445
97611;-12.7726;45.1909
95127;49.0379;2.0606
92044;48.8951;2.2868
92040;48.8233;2.2643
62193;50.9501;1.8761
33318;44.7920;-0.6753
68066;48.1102;7.3850
